"Time (s)","Position 1 (m)","Velocity 1 (m/s)","Acceleration 1 (m/s²)","Position 2 (m)","Velocity 2 (m/s)","Acceleration 2 (m/s²)"
0.05,0.0015435,-0.00323944444444,0.0160807716049,-0.002058,-0.00457333333333,0.0373065432099
0.1,0.001372,-0.00262013888889,0.0164724691358,-0.002401,-0.00228666666667,0.0292291049383
0.15,0.0012005,-0.00125766666667,0.00608189814815,-0.0022295,-0.0015435,0.023025462963
0.2,0.0012005,-0.000285833333333,-0.0257091203704,-0.0025725,-0.000666944444444,0.0267730555556
0.25,0.001372,-0.00323944444444,-0.045145787037,-0.002401,0.00190555555556,0.0159113888889
0.3,0.001372,-0.0116238888889,0.0620999382716,-0.0022295,0.00161972222222,-0.00729404320987
0.35,-0.0005145,-0.00466861111111,0.258467438272,-0.0022295,0.0008575,-0.0232901234568
0.4,-0.0008575,0.0283927777778,0.170070833333,-0.002058,-0.00142916666667,-0.023237191358
0.45,0.00343,0.0373488888889,-0.323150462963,-0.002401,-0.00295361111111,0.00423456790123
0.5,0.0066885,-0.0169594444444,-0.559809876543,-0.0025725,-0.000571666666667,0.0237665123457
0.55,0.001029,-0.0592627777778,-0.0879202160494,-0.002401,0.000952777777778,0.0157208333333
0.6,-0.0039445,-0.0213422222222,0.351680864198,-0.002401,0.00123861111111,0.00105864197531
0.65,-0.0001715,0.00638361111111,0.315422376543,-0.0022295,0.000476388888889,-0.00534614197531
0.7,-0.001029,0.00247722222222,0.409959104938,-0.002401,0.000285833333333,-0.00322885802469
0.75,-0.001029,0.0212469444444,0.928799537037,-0.0022295,0.000666944444444,-0.00825740740741
0.8,-0.0018865,0.0948966666667,1.42906080247,-0.0022295,-0.000762222222222,-0.00883966049383
0.85,0.0070315,0.196176944444,1.32256141975,-0.002401,-0.000571666666667,-0.00174675925926
0.9,0.0204085,0.249341944444,0.75761712963,-0.0022295,-0.00104805555556,0.00714583333333
0.95,0.0337855,0.263728888889,0.288691666667,-0.0025725,-0.000285833333333,0.0199554012346
1,0.046991,0.265634444444,0.0628833333333,-0.002401,0.0025725,0.00349351851852
1.05,0.060368,0.264776944444,-0.0151915123457,-0.002058,0.000952777777778,-0.0267307098765
1.1,0.0735735,0.262109166667,-0.0286362654321,-0.0022295,-0.00200083333333,-0.0228666666667
1.15,0.086436,0.261632777778,-0.0274717592593,-0.002401,-0.0025725,0.00550493827161
1.2,0.099813,0.260013055556,-0.0349351851852,-0.0025725,-0.00114333333333,0.029324382716
1.25,0.112504,0.257345277778,-0.030912345679,-0.0025725,0.00142916666667,0.0305418209877
1.3,0.1253665,0.257345277778,-0.0337177469136,-0.002401,0.00333472222222,0.00312299382716
1.35,0.1384005,0.254772777778,-0.0481152777778,-0.002058,0.001715,-0.0247192901235
1.4,0.15092,0.251056944444,-0.0393814814815,-0.0022295,-0.000190555555556,-0.0313358024691
1.45,0.163268,0.250961666667,-0.0326061728395,-0.002058,-0.00238194444444,-0.0173087962963
1.5,0.1761305,0.249151388889,-0.0476388888889,-0.0025725,-0.00247722222222,0.00751635802469
1.55,0.188307,0.245340277778,-0.0520322530864,-0.002401,-0.000666944444445,0.0119097222222
1.6,0.2004835,0.244101666667,-0.0631479938272,-0.0025725,-9.52777777778E-05,-0.0129683641975
1.65,0.2128315,0.240481111111,-0.102000154321,-0.002401,-0.000476388888889,-0.0742108024691
1.7,0.224665,0.234288055556,-0.157261265432,-0.002401,-0.00590722222222,-0.173670216049
1.75,0.236327,0.225617777778,-0.244599228395,-0.002744,-0.01715,-0.298695833333
1.8,0.247303,0.213041111111,-0.400854783951,-0.0039445,-0.0343,-0.458868364198
1.85,0.2581075,0.189221666667,-0.622163888889,-0.005831,-0.0605966666667,-0.653711419753
1.9,0.2670255,0.148823888889,-0.79578117284,-0.009261,-0.101851944444,-0.787100308642
1.95,0.2731995,0.1029,-0.823411728395,-0.015778,-0.147585277778,-0.746713117284
2,0.277144,0.0605013888889,-0.710931018519,-0.0245245,-0.183314444444,-0.560339197531
2.05,0.278859,0.0277258333333,-0.504972222222,-0.0348145,-0.203989722222,-0.350145833333
2.1,0.279202,0.01029,-0.299542746914,-0.045276,-0.215041944444,-0.199501080247
2.15,0.279545,0.001715,-0.17022962963,-0.0564235,-0.221997222222,-0.0996182098765
2.2,0.2793735,-0.00466861111111,-0.0940603395062,-0.0677425,-0.223331111111,-0.0450452160494
2.25,0.278859,-0.00666944444444,-0.050550154321,-0.0787185,-0.224569722222,-0.0378464506173
2.3,0.2786875,-0.00809861111111,-0.0395932098765,-0.090209,-0.226284722222,-0.0512382716049
2.35,0.278173,-0.0109569444444,-0.0254074074074,-0.1013565,-0.228190277778,-0.082150617284
2.4,0.277487,-0.0118144444444,0.00497561728395,-0.112504,-0.238003888889,-0.0454157407407
