"Time (s)","Position 1 (m)","Velocity 1 (m/s)","Acceleration 1 (m/s²)","Position 2 (m)","Velocity 2 (m/s)","Acceleration 2 (m/s²)"
0.05,0.0012005,0.00133388888889,-0.0151703395062,-0.0018865,-0.00343,0.0256085493827
0.1,0.0012005,0.000238194444444,0.0158849228395,-0.002058,-0.00271541666667,0.0329078858025
0.15,0.0015435,0.001372,0.0421921759259,-0.002401,0.000457333333333,0.0279005092593
0.2,0.001372,-0.0025725,0.15736183642,-0.0018865,0.00152444444444,0.000756929012346
0.25,-0.001029,0.0305841666667,0.0469137191358,-0.002058,-0.000476388888889,-0.00989300925926
0.3,0.007546,0.0125766666667,-0.242714845679,-0.002058,-0.000762222222222,0.00159854938272
0.35,0.000686,-0.0153397222222,-0.180816049383,-0.0022295,0.000476388888889,0.00285833333333
0.4,0.0032585,-0.00152444444444,-0.145510339506,-0.0018865,0,-0.00391697530864
0.45,0.003087,-0.0253438888889,-0.144981018519,-0.0022295,-0.000666944444444,0.000529320987655
0.5,0,-0.0333472222222,0.128466203704,-0.002058,0.000381111111111,0.000635185185184
0.55,-0.002744,-0.00352527777778,0.29027962963,-0.002058,-0.000666944444445,0.00232901234568
0.6,0.0015435,0.0025725,0.418798765432,-0.0022295,0.000190555555556,0.00894552469136
0.65,-0.001715,0.00724111111111,1.07335709877,-0.002058,0.00104805555556,0.000741049382715
0.7,-0.0025725,0.0999463888889,1.83658503086,-0.002058,0.000762222222222,-0.014450462963
0.75,0.006174,0.231715555556,1.82568101852,-0.0018865,-0.00114333333333,-0.0158796296296
0.8,0.023324,0.316608055556,1.12650092593,-0.0022295,-0.00200083333333,0.00344058641976
0.85,0.040817,0.339951111111,0.430496759259,-0.0022295,-0.000381111111111,0.0161442901235
0.9,0.057967,0.340713333333,0.0855912037037,-0.0022295,0.000762222222222,0.00894552469136
0.95,0.074774,0.338521944444,-0.0128095679012,-0.002058,0.000381111111111,0.0015350308642
1,0.0917525,0.337473888889,-0.0268895061728,-0.0022295,0.000381111111111,0.00201141975309
1.05,0.1085595,0.336044722222,-0.0303300925926,-0.002058,0.000952777777778,-0.00285833333333
1.1,0.1253665,0.334425,-0.0326591049383,-0.002058,0.000190555555556,-0.00836327160494
1.15,0.142002,0.33271,-0.0343529320988,-0.002058,-0.000190555555556,-0.00836327160494
1.2,0.1586375,0.330995,-0.0365760802469,-0.002058,-0.000952777777778,-0.00312299382716
1.25,0.1751015,0.329184722222,-0.0421339506173,-0.0022295,-0.000381111111111,-0.000529320987654
1.3,0.1915655,0.327088611111,-0.0559492283951,-0.002058,-0.000381111111111,-0.0143975308642
1.35,0.207858,0.323944444444,-0.0862793209877,-0.0022295,-0.00123861111111,-0.0560021604938
1.4,0.223979,0.320038055556,-0.173934876543,-0.0022295,-0.00276305555556,-0.184521296296
1.45,0.2399285,0.312034722222,-0.406200925926,-0.0022295,-0.0129577777778,-0.460403395062
1.5,0.255535,0.290597222222,-0.863375462963,-0.002744,-0.0425891666667,-0.847866358025
1.55,0.270627,0.232763611111,-1.4190037037,-0.005145,-0.100422777778,-1.1533904321
1.6,0.280917,0.134436944444,-1.66222669753,-0.012005,-0.173119722222,-1.14021033951
1.65,0.2838325,0.0401119444444,-1.36988271605,-0.023324,-0.229143055556,-0.820500462963
1.7,0.2828035,-0.0129577777778,-0.829975308642,-0.036358,-0.255535,-0.465961265432
1.75,0.28126,-0.0354433333333,-0.3987375,-0.049392,-0.268016388889,-0.249733641975
1.8,0.278859,-0.0440183333333,-0.154191203704,-0.0632835,-0.274971666667,-0.150433024691
1.85,0.2766295,-0.0458286111111,-0.0433513888889,-0.0766605,-0.283737222222,-0.0608189814815
1.9,0.2742285,-0.0459238888889,-0.00322885802469,-0.0920955,-0.283927777778,0.0639419753086
1.95,0.271999,-0.0450663888889,0.00587546296296,-0.105644,-0.273256666667,0.11105154321
2,0.2697695,-0.0449711111111,0.0055049382716,-0.119021,-0.268683333333,0.0783395061728
2.05,0.26754,-0.0452569444444,0.0165148148148,-0.132398,-0.266110833333,0.0456274691358
2.1,0.265139,-0.0437325,0.0325532407407,-0.1456035,-0.265158055556,0.0277893518519
2.15,0.263081,-0.0407788888889,0.0263072530864,-0.1589805,-0.263347777778,0.0155091049383
2.2,0.2611945,-0.0402072222222,0.00391697530864,-0.171843,-0.2632525,0.00169382716049
2.25,0.2591365,-0.0410647222222,-0.00688117283951,-0.18522,-0.264395833333,0.0104805555556
2.3,0.2570785,-0.0419222222222,0.00158796296296,-0.1984255,-0.263061944444,0.0332413580247
2.35,0.254849,-0.0410647222222,0.0151915123457,-0.211631,-0.259917777778,0.0358350308642
2.4,0.2529625,-0.0398261111111,0.0195319444444,-0.224322,-0.258298055556,0.0166736111111
2.45,0.2509045,-0.0390638888889,0.0213845679012,-0.237356,-0.258679166667,0.00354645061728
2.5,0.249018,-0.03773,0.0222314814815,-0.2502185,-0.258774444444,0.00968657407407
2.55,0.2471315,-0.0364913888889,0.01715,-0.2632525,-0.258393333333,0.0436689814815
2.6,0.2454165,-0.036015,0.0121743827161,-0.276115,-0.256964166667,0.167000771605
2.65,0.24353,-0.0356338888889,0.0136035493827,-0.2889775,-0.249056111111,0.464796759259
2.7,0.241815,-0.0346811111111,0.0178910493827,-0.301497,-0.224855555556,1.00195169753
2.75,0.2401,-0.0340141666667,0.0259896604938,-0.314531,-0.143869444444,1.40391805556
2.8,0.238385,-0.0326802777778,0.0411282407407,-0.316246,-0.0546894444444,1.22590740741
2.85,0.23667,-0.0288691666667,0.0367348765432,-0.317618,-0.00838444444444,0.74004367284
2.9,0.235641,-0.0275352777778,0.00741049382716,-0.3164175,0.0165783333333,0.258626234568
2.95,0.2340975,-0.0293455555556,-0.00185262345679,-0.314874,0.0139105555556,-0.114809722222
3,0.232554,-0.0288691666667,0.00979243827161,-0.3140165,-0.00752694444444,-0.200877314815
3.05,0.231182,-0.0278211111111,0.0150327160494,-0.3160745,-0.0204847222222,-0.000529320987656
3.1,0.22981,-0.0271541666667,0.0164089506173,-0.3174465,-0.00809861111111,0.227343364198
3.15,0.228438,-0.0261061111111,0.0156149691358,-0.317275,0.0136247222222,0.254127006173
3.2,0.2272375,-0.0256297222222,0.015562037037,-0.315217,0.0216280555556,0.178010648148
3.25,0.2258655,-0.0249627777778,0.0220726851852,-0.3150455,0.0286786111111,0.0983478395062
3.3,0.224665,-0.0230572222222,0.0227078703704,-0.3126445,0.0348716666667,-0.0726228395062
3.35,0.223636,-0.0223902777778,0.0191614197531,-0.3116155,0.0355386111111,-0.444470833333
3.4,0.2224355,-0.0217233333333,0.0250898148148,-0.305956,-0.0160066666667,-0.646247993827
3.45,0.2214065,-0.0201036111111,0.0334530864198,-0.313159,-0.0659322222222,-0.193678549383
3.5,0.2203775,-0.0177216666667,0.0296949074074,-0.3171035,-0.0366819444444,0.298378240741
3.55,0.2196915,-0.0163877777778,0.0122802469136,-0.316589,-0.00666944444444,0.288268209877
3.6,0.218834,-0.0168641666667,0.00116450617284,-0.3160745,-0.00104805555556,0.103164660494
3.65,0.2179765,-0.0169594444444,0.00307006172839,-0.3164175,-0.00562138888889,0.0346175925926
3.7,0.217119,-0.0167688888889,0.0106922839506,-0.3174465,0.00123861111111,0.00905138888889
3.75,0.2162615,-0.0157208333333,0.0164618827161,-0.31556,-0.00343,-0.0177322530864
3.8,0.2155755,-0.0150538888889,0.0202200617284,-0.317961,-0.00466861111111,0.0269953703704
3.85,0.214718,-0.01372,0.0233959876543,-0.3164175,0.000762222222222,0.0403342592593
3.9,0.2142035,-0.0123861111111,0.0203259259259,-0.317618,0.00104805555556,0.0236077160494
3.95,0.2135175,-0.0117191666667,0.0173087962963,-0.316589,0.00581194444444,-0.0330296296296
4,0.213003,-0.0106711111111,0.0150856481482,-0.3160745,-0.00533555555556,-0.0328179012346
4.05,0.2124885,-0.01029,0.0163030864198,-0.3177895,-0.00438277777778,0.0785512345679
4.1,0.211974,-0.00962305555556,0.0279481481481,-0.317275,0.00876555555556,0.0760634259259
4.15,0.2114595,-0.0077175,0.0411811728395,-0.316246,0.01029,-0.0492268518519
4.2,0.2111165,-0.00447805555556,0.0351469135802,-0.3157315,0.00209611111111,-0.14233441358
4.25,0.2111165,-0.00314416666667,0.0108510802469,-0.3157315,-0.0116238888889,-0.0927899691358
4.3,0.210945,-0.0042875,0.00174675925926,-0.317618,-0.0121955555556,0.0515558641975
4.35,0.210602,-0.00419222222222,0.0148209876543,-0.317618,-0.000476388888889,0.0941662037037
