"Time (s)","Position 1 (m)","Velocity 1 (m/s)","Acceleration 1 (m/s²)","Position 2 (m)","Velocity 2 (m/s)","Acceleration 2 (m/s²)"
0.05,0.287777,0.00743166666667,-0.0705796604938,-0.0039445,0.000952777777778,-0.0241476234568
0.1,0.2882915,0.00414458333333,-0.112115478395,-0.0039445,0.00147680555556,-0.128535015432
0.15,0.2882915,0.0012005,-0.284610601852,-0.0036015,-0.00125766666667,-0.448551898148
0.2,0.2882915,-0.00781277777778,-0.801492546296,-0.004116,-0.018865,-1.21895742284
0.25,0.2882915,-0.0490680555556,-1.88619828704,-0.003773,-0.0871791666667,-2.59970180556
0.3,0.2882915,-0.188554722222,-3.00175814815,-0.0049735,-0.298981666667,-3.48329203704
0.35,0.273714,-0.40474,-3.0056962963,-0.033271,-0.518501666667,-2.77623564815
0.4,0.2437015,-0.546513333333,-1.86670339506,-0.064141,-0.605204444444,-1.41709814815
0.45,0.2138605,-0.584815,-0.736073765432,-0.0962115,-0.6302625,-0.510688888889
0.5,0.1843625,-0.589197777778,-0.168324074074,-0.127596,-0.630834166667,-0.136088425926
0.55,0.155036,-0.58653,0.0225490740741,-0.158809,-0.636550833333,0.00195848765433
0.6,0.1257095,-0.5839575,0.104382098765,-0.191737,-0.633406666667,0.173246759259
0.65,0.0965545,-0.579955833333,0.312034722222,-0.222607,-0.622259166667,0.504495833333
0.7,0.0677425,-0.567665,0.891958796296,-0.253477,-0.602536666667,1.29021990741
0.75,0.0389305,-0.520693055556,2.00321527778,-0.2845185,-0.531935833333,2.68138132716
0.8,0.0104615,-0.371678611111,3.06206898148,-0.314874,-0.314416666667,3.56540030864
0.85,-0.002401,-0.151205833333,2.88654614198,-0.3167605,-0.084035,2.73388996914
0.9,0.0008575,-0.0282975,1.63740154321,-0.314188,-0.0146727777778,1.29699521605
0.95,0.0001715,-0.0117191666667,0.710084104938,-0.316246,0.000762222222222,0.549911574074
1,-0.001715,0.0107663888889,0.371477469136,-0.3157315,0.0226761111111,0.21993287037
1.05,0.001372,0.0239147222222,0.182033487654,-0.3129875,0.0282022222222,-0.0549964506173
1.1,0.0012005,0.0295361111111,0.0577489197531,-0.3109295,0.0025725,-0.0497561728395
1.15,0.005145,0.0232477777778,0.0299066358025,-0.3150455,0.0131483333333,0.133918209877
1.2,0.002744,0.0255344444444,0.0999887345679,-0.3102435,0.0301077777778,0.165412808642
1.25,0.0060025,0.0539272222222,-0.161919290123,-0.3095575,0.0243911111111,0.252433179012
1.3,0.012348,0.0105758333333,-0.420810185185,-0.3085285,0.0273447222222,0.605913734568
1.35,0.006174,-0.0153397222222,-0.229725308642,-0.3153885,0.150443611111,-0.152232716049
1.4,0.0087465,-0.0115286111111,-0.0407047839506,-0.2814315,0.0699338888889,-1.74427145062
1.45,0.0046305,0.000381111111111,-0.121426234568,-0.299782,-0.150157777778,-1.16471790123
1.5,0.011662,-0.0283927777778,-0.116821141975,-0.3126445,-0.103566944444,0.450716820988
1.55,0.0012005,-0.0439230555556,0.369254320988,-0.311787,-0.01715,0.68684691358
1.6,0.001715,0.0295361111111,0.449446450617,-0.3087,-0.00485916666667,0.287315432099
1.65,0.0070315,0.0499255555556,-0.27699367284,-0.3119585,-0.0109569444444,0.11105154321
1.7,0.012005,-0.0168641666667,-0.67398441358,-0.3112725,0.000285833333333,0.0697115740741
1.75,0.0042875,-0.0698386111111,-0.169912037037,-0.311101,-0.000285833333333,0.0151915123457
1.8,-0.000343,-0.0316322222222,0.357079938272,-0.3112725,-0.000571666666667,0.00259367283951
1.85,0.001715,0.0042875,0.247192901235,-0.3112725,-0.000571666666667,-0.00111157407407
1.9,0.003087,-0.00647888888889,0.0606072530864,-0.3112725,-0.000952777777778,0.00555787037037
1.95,0,-0.00562138888889,0.109728240741,-0.311444,0,0.0108510802469
2,0.001715,0.00905138888889,0.097024537037,-0.3112725,0.0008575,0.00349351851852
2.05,0.0018865,0.00638361111111,0.0479035493827,-0.3112725,0.000285833333333,-0.00328179012346
2.1,0.001372,0.0198177777778,-0.1029,-0.3112725,9.52777777778E-05,-0.00285833333333
2.15,0.006174,-0.00800333333333,-0.169488580247,-0.3112725,0,-0.00142916666667
2.2,-0.0008575,-0.0100041666667,0.00333472222222,-0.3112725,0,-0.000317592592593
2.25,0.004802,-0.00419222222222,0.118938425926,-0.3112725,0,-5.29320987654E-05
2.3,-0.001372,0.00409694444444,0.19034382716,-0.3112725,0,-5.29320987654E-05
2.35,0.004459,0.0252486111111,0.0795040123457,-0.3112725,0,-0.000370524691358
2.4,0.0036015,0.00724111111111,0.0233430555556,-0.3112725,0,-0.00174675925926
2.45,0.0032585,0.0179122222222,0.10332345679,-0.3112725,-9.52777777778E-05,-0.0042875
2.5,0.004459,0.0384922222222,-0.117403395062,-0.3112725,-0.000381111111111,-0.00619305555556
2.55,0.0111475,0.000666944444444,-0.243222993827,-0.3112725,-0.00114333333333,-0.000158796296296
2.6,0.003087,-0.0174358333333,0.100359259259,-0.311444,-0.0008575,0.0128095679012
2.65,0.0042875,0.0431608333333,-0.0628833333333,-0.311444,0.0008575,0.0128625
2.7,0.014063,-0.00295361111111,-0.524239506173,-0.3112725,0.00114333333333,0.000158796296296
2.75,0.004802,-0.0595486111111,-0.159590277778,-0.3112725,0.000381111111111,-0.00476388888889
2.8,0.002401,-0.0243911111111,0.311928858025,-0.3112725,0.000190555555556,-0.00142916666667
2.85,0.0032585,0.00228666666667,0.287474228395,-0.3112725,0.000285833333333,0.00158796296296
2.9,0.0039445,0.0108616666667,0.0861734567901,-0.3112725,0.0008575,-0.00354645061728
2.95,0.0046305,0.00666944444444,-0.0725169753086,-0.311101,0,-0.00968657407407
3,0.004802,-0.00142916666667,-0.107134567901,-0.3112725,-0.0008575,-0.00317592592593
3.05,0.004802,-0.0127672222222,0.0181557098765,-0.3112725,-0.000285833333333,0.00333472222222
3.1,0.002058,0.0008575,0.122220216049,-0.3112725,-9.52777777778E-05,0.00285833333333
3.15,0.004802,0.0143869444444,-0.0323944444444,-0.3112725,0,0.00142916666667
3.2,0.005145,-0.000190555555556,-0.219774074074,-0.3112725,0,0.000264660493827
3.25,0.005145,-0.0214375,-0.166153858025,-0.3112725,0,-0.000264660493827
3.3,0.0018865,-0.0242958333333,0.0341941358025,-0.3112725,0,-0.0013762345679
3.35,0.0018865,-0.0104805555556,0.116768209877,-0.3112725,-9.52777777778E-05,-0.00259367283951
3.4,0.0015435,-0.00666944444444,0.0766456790123,-0.3112725,-0.000285833333333,-0.00227608024691
3.45,0.0012005,-0.00323944444444,0.0116450617284,-0.3112725,-0.000762222222222,0.00423456790123
3.5,0.0012005,-0.00323944444444,-0.0907785493827,-0.311444,0.000190555555556,0.00836327160494
3.55,0.001372,-0.0118144444444,-0.172982098765,-0.3112725,0.00133388888889,-0.00762222222222
3.6,0.000686,-0.0302030555556,-0.0757458333333,-0.311101,-0.000952777777778,-0.0159854938272
3.65,-0.0029155,-0.0261061111111,0.138787962963,-0.311444,-0.00190555555556,0.00344058641975
3.7,-0.002744,-0.00676472222222,0.187908950617,-0.311444,-0.000285833333333,0.0178910493827
3.75,-0.002744,-0.000381111111111,0.101153240741,-0.311444,0.00104805555556,0.0120155864198
3.8,-0.0025725,0.00133388888889,0.0283186728395,-0.3112725,0.00123861111111,-0.00164089506173
3.85,-0.0025725,0.000285833333333,-0.00465802469136,-0.3112725,0.000381111111111,-0.00735756172839
3.9,-0.0025725,-0.000190555555556,-0.00725169753086,-0.3112725,9.52777777778E-05,-0.00492268518518
3.95,-0.0025725,-0.0008575,0.00132330246914,-0.3112725,0,-0.00359938271605
4,-0.002744,0,0.00926311728395,-0.3112725,-9.52777777778E-05,-0.00497561728395
4.05,-0.0025725,0.0008575,0.00312299382716,-0.3112725,-0.000381111111111,-0.00767515432099
4.1,-0.0025725,0.000285833333333,-0.00333472222222,-0.3112725,-0.00123861111111,-0.00301712962963
4.15,-0.0025725,9.52777777778E-05,-0.00285833333333,-0.311444,-0.00114333333333,0.00947484567901
4.2,-0.0025725,0,-0.00142916666667,-0.311444,0,0.0159854938272
4.25,-0.0025725,0,-0.000317592592593,-0.311444,0.00114333333333,0.00947484567901
4.3,-0.0025725,0,-5.29320987654E-05,-0.3112725,0.00123861111111,-0.00307006172839
4.35,-0.0025725,0,0,-0.3112725,0.000381111111111,-0.00793981481481
4.4,-0.0025725,0,0,-0.3112725,9.52777777778E-05,-0.00603425925926
4.45,-0.0025725,0,0,-0.3112725,-9.52777777778E-05,-0.00471095679012
4.5,-0.0025725,0,0,-0.3112725,-0.000285833333333,-0.00402283950617
4.55,-0.0025725,0,0,-0.3112725,-0.0008575,0.00169382716049
4.6,-0.0025725,0,0,-0.311444,-9.52777777778E-05,0.00677530864198
4.65,-0.0025725,0,0,-0.3112725,0.000571666666667,-0.000158796296296
4.7,-0.0025725,0,0,-0.3112725,-0.000571666666667,-0.000158796296296
4.75,-0.0025725,0,0,-0.311444,9.52777777778E-05,0.00678589506173
4.8,-0.0025725,0,0,-0.3112725,0.0008575,0.00177851851852
4.85,-0.0025725,0,0,-0.3112725,0.000285833333333,-0.00355703703704
4.9,-0.0025725,0,0,-0.3112725,0.000114333333333,-0.00292185185185
4.95,-0.0025725,0,0,-0.3112725,0,-0.00192143518518
5,-0.0025725,0,0,-0.3112725,0,-0.000698703703704
