"Time (s)","Position 1 (m)","Velocity 1 (m/s)","Acceleration 1 (m/s²)","Position 2 (m)","Velocity 2 (m/s)","Acceleration 2 (m/s²)"
0.05,0.284347,0.00247722222222,-0.0205270679012,-0.004802,-0.000762222222222,-0.011962654321
0.1,0.2845185,0.00138152777778,-0.0194895987654,-0.004802,-0.00152444444444,-0.0245604938272
0.15,0.2845185,0.000400166666667,-0.0279640277778,-0.0049735,-0.00142916666667,-0.104424444444
0.2,0.2845185,9.52777777778E-05,-0.0896828549383,-0.0049735,-0.00266777777778,-0.425150617284
0.25,0.2845185,-0.00209611111111,-0.337341558642,-0.005145,-0.0211516666667,-1.24665679012
0.3,0.2845185,-0.0183886111111,-0.89609808642,-0.004802,-0.0978502777778,-2.52475524691
0.35,0.2845185,-0.077175,-1.65862731481,-0.0080605,-0.299553333333,-3.21319012346
0.4,0.2807455,-0.206752777778,-1.93932623457,-0.0351575,-0.494491666667,-2.45493780864
0.45,0.262738,-0.316322222222,-1.34865694444,-0.0643125,-0.564901944444,-1.21394475309
0.5,0.244902,-0.347478055556,-0.575954166667,-0.0934675,-0.585386666667,-0.453945679012
0.55,0.2272375,-0.35329,-0.148051080247,-0.1229655,-0.589293055556,-0.148209876543
0.6,0.209573,-0.351098611111,0.0147151234568,-0.1521205,-0.595676666667,-0.0212787037037
0.65,0.19208,-0.348145,0.0503384259259,-0.1829905,-0.593580555556,0.119467746914
0.7,0.1747585,-0.345191388889,0.0510794753086,-0.211974,-0.582623611111,0.297319598765
0.75,0.1576085,-0.343,0.046262654321,-0.240786,-0.572905277778,0.740520061728
0.8,0.1404585,-0.340903888889,0.0467390432099,-0.2697695,-0.536985555556,1.71457654321
0.85,0.12348,-0.338236111111,0.0464743827161,-0.2985815,-0.416268611111,2.85706296296
0.9,0.106673,-0.33614,0.0447805555556,-0.3164175,-0.205418888889,3.07313179012
0.95,0.089866,-0.334043888889,0.0500737654321,-0.3160745,-0.0486869444444,2.11643703704
1,0.0732305,-0.331280833333,0.0700291666667,-0.31556,0.00333472222222,1.0503845679
1.05,0.0567665,-0.328994166667,0.16419537037,-0.3157315,0.0295361111111,0.40471882716
1.1,0.0403025,-0.322229444444,0.447540895062,-0.3136735,0.0564044444444,-0.276411419753
1.15,0.0241815,-0.299362777778,1.01052669753,-0.303898,-0.0150538888889,-0.527256635802
1.2,0.007889,-0.226094166667,1.60040200617,-0.3167605,-0.0554516666667,0.199501080247
